,start,end,station
106,2021-01-15 14:15:20,2021-01-15 14:16:52,3
107,2021-01-15 15:25:05,2021-01-15 15:25:18,8
108,2021-01-15 15:29:41,2021-01-15 15:29:44,8
109,2021-01-15 15:30:32,2021-01-15 15:31:18,8
110,2021-01-15 17:21:11,2021-01-15 17:21:20,2
111,2021-01-15 17:58:14,2021-01-15 18:01:28,3
112,2021-01-15 21:58:27,2021-01-15 21:58:33,9
113,2021-01-15 22:10:41,2021-01-15 22:10:43,2
114,2021-01-15 22:27:38,2021-01-15 22:31:50,3
115,2021-01-15 22:53:46,2021-01-15 22:56:01,3
116,2021-01-16 07:34:47,2021-01-16 07:37:10,3
117,2021-01-16 07:37:36,2021-01-16 07:41:39,3
118,2021-01-16 12:04:51,2021-01-16 12:12:44,3
119,2021-01-16 12:52:40,2021-01-16 12:59:23,3
120,2021-01-16 14:51:30,2021-01-16 14:54:12,3
121,2021-01-16 14:54:36,2021-01-16 14:58:11,3
122,2021-01-16 17:38:18,2021-01-16 17:40:26,3
123,2021-01-16 21:01:52,2021-01-16 21:03:48,3
124,2021-01-16 22:45:50,2021-01-16 22:57:42,3
125,2021-01-17 03:55:40,2021-01-17 04:02:16,3
126,2021-01-17 07:53:15,2021-01-17 07:54:50,3
127,2021-01-17 09:42:59,2021-01-17 09:46:30,3
128,2021-01-17 12:44:34,2021-01-17 12:51:41,3
129,2021-01-17 15:50:00,2021-01-17 15:55:06,3
130,2021-01-17 17:19:38,2021-01-17 17:19:55,3
131,2021-01-17 18:00:05,2021-01-17 18:01:55,3
132,2021-01-17 18:02:07,2021-01-17 18:05:18,3
133,2021-01-17 20:18:02,2021-01-17 20:20:20,3
134,2021-01-17 20:32:05,2021-01-17 20:35:36,3
135,2021-01-18 01:37:16,2021-01-18 01:41:47,3
136,2021-01-18 01:42:00,2021-01-18 01:48:06,3
137,2021-01-18 08:20:30,2021-01-18 08:23:20,3
138,2021-01-18 08:23:39,2021-01-18 08:24:56,3
139,2021-01-18 12:08:58,2021-01-18 12:14:03,3
140,2021-01-18 15:04:35,2021-01-18 15:07:59,3
141,2021-01-18 15:25:48,2021-01-18 15:28:56,3
142,2021-01-18 18:01:44,2021-01-18 18:05:04,3
143,2021-01-18 20:29:16,2021-01-18 20:37:25,3
144,2021-01-18 20:46:36,2021-01-18 20:49:01,3
145,2021-01-18 21:06:26,2021-01-18 21:09:06,3
146,2021-01-19 01:09:52,2021-01-19 01:10:53,3
